ID	Driver	RelativePos	RelativeQuali
2000-United States Grand Prix-BAR	Ricardo Zonta	-2	-0.467
2000-United States Grand Prix-Benneton	Alexander Wurz	7	0.145
2000-United States Grand Prix-Benneton	Giancarlo Fisichella	-7	-0.145
2000-United States Grand Prix-Ferrari	Michael Schumacher	1	0.334
2000-United States Grand Prix-Ferrari	Rubens Barrichello	-1	-0.334
2000-United States Grand Prix-Jaguar	Eddie Irvine	4	0.127
2000-United States Grand Prix-Jaguar	Johnny Herbert	-4	-0.127
2000-United States Grand Prix-Jordan	Heinz-Harald Frentzen	19	-0.061
2000-United States Grand Prix-Jordan	Jarno Trulli	-19	0.061
2000-United States Grand Prix-McLaren	David Coulthard	14	0.036
2000-United States Grand Prix-McLaren	Mika Hakkinen	-14	-0.036
2000-United States Grand Prix-Minardi	Marc Gene	2	-0.352
2000-United States Grand Prix-Minardi	Gaston Mazzacane	-2	0.352
2000-United States Grand Prix-Prost	Nick Heidfeld	4	0.411
2000-United States Grand Prix-Prost	Jean Alesi	-4	-0.411
2000-United States Grand Prix-Sauber	Pedro Diniz	12	0.463
2000-United States Grand Prix-Sauber	Mika Salo	-12	-0.463
2000-United States Grand Prix-Williams	Ralf Schumacher	6	-0.467
2000-United States Grand Prix-Williams	Jenson Button	-6	0.467
2001-Australian Grand Prix-Arrows	Jos Verstappen	11	0.586
2001-Australian Grand Prix-Arrows	Enrique Bernoldi	-11	-0.586
2001-Australian Grand Prix-BAR	Olivier Panis	12	-0.083
2001-Australian Grand Prix-BAR	Jacques Villeneuve	-12	0.083
2001-Australian Grand Prix-Benneton	Giancarlo Fisichella	1	-0.174
2001-Australian Grand Prix-Benneton	Jenson Button	-1	0.174
2001-Australian Grand Prix-Ferrari	Michael Schumacher	2	0.371
2001-Australian Grand Prix-Ferrari	Rubens Barrichello	-2	-0.371
2001-Australian Grand Prix-Jaguar	Luciano Burti	3	-2.013
2001-Australian Grand Prix-Jaguar	Eddie Irvine	-3	2.013
2001-Australian Grand Prix-Jordan	Heinz-Harald Frentzen	11	0.719
2001-Australian Grand Prix-Jordan	Jarno Trulli	-11	-0.719
2001-Australian Grand Prix-McLaren	David Coulthard	15	-0.549
2001-Australian Grand Prix-McLaren	Mika Hakkinen	-15	0.549
2001-Australian Grand Prix-Minardi	Fernando Alonso	8	2.571
2001-Australian Grand Prix-Minardi	Tarso Marques	-8	-2.571
2001-Australian Grand Prix-Prost	Jean Alesi	13	0.905
2001-Australian Grand Prix-Prost	Gaston Mazzacane	-13	-0.905
2001-Australian Grand Prix-Sauber	Nick Heidfeld	2	0.378
2001-Australian Grand Prix-Sauber	Kimi R<e4>ikk<f6>nen	-2	-0.378
2001-Australian Grand Prix-Williams	Juan Pablo Montoya	3	-1.019
2001-Australian Grand Prix-Williams	Ralf Schumacher	-3	1.019
2001-Austrian Grand Prix-Arrows	Jos Verstappen	11	-0.364
2001-Austrian Grand Prix-Arrows	Enrique Bernoldi	-11	0.364
2001-Austrian Grand Prix-BAR	Olivier Panis	3	0.623
2001-Austrian Grand Prix-BAR	Jacques Villeneuve	-3	-0.623
2001-Austrian Grand Prix-Benneton	Jenson Button	8	-0.815
