ID	Driver	RelativePos	Relative_CP
2017-Sauber	Pascal Wehrlein	2	5.0
2017-Sauber	Marcus Ericsson	-2	-5.0
2017-Toro Rosso	Carlos Sainz	10	49.0
2017-Toro Rosso	Daniil Kvyat	-10	-49.0
2017-Williams	Felipe Massa	1	3.0
2017-Williams	Lance Stroll	-1	-3.0
2018-Ferrari	Sebastian Vettel	1	69.0
2018-Ferrari	Kimi R<e4>ikk<f6>nen	-1	-69.0
2018-Force India	Sergio P<e9>rez	4	13.0
2018-Force India	Esteban Ocon	-4	-13.0
2018-Haas	Kevin Magnussen	5	19.0
2018-Haas	Romain Grosjean	-5	-19.0
2018-McLaren	Fernando Alonso	5	38.0
2018-McLaren	Stoffel Vandoorne	-5	-38.0
2018-Mercedes	Lewis Hamilton	4	161.0
2018-Mercedes	Valtteri Bottas	-4	-161.0
2018-Red Bull	Max Verstappen	2	79.0
2018-Red Bull	Daniel Ricciardo	-2	-79.0
2018-Renault	Nico H<fc>lkenberg	3	16.0
2018-Renault	Carlos Sainz	-3	-16.0
2018-Sauber	Charles Leclerc	4	30.0
2018-Sauber	Marcus Ericsson	-4	-30.0
2018-Toro Rosso	Pierre Gasly	4	25.0
2018-Toro Rosso	Brendon Hartley	-4	-25.0
2018-Williams	Lance Stroll	2	5.0
2018-Williams	Sergey Sirotkin	-2	-5.0
2019-Aston Martin	Sergio P<e9>rez	5	31.0
2019-Aston Martin	Lance Stroll	-5	-31.0
2019-Ferrari	Charles Leclerc	1	24.0
2019-Ferrari	Sebastian Vettel	-1	-24.0
2019-Haas	Kevin Magnussen	2	12.0
2019-Haas	Romain Grosjean	-2	-12.0
2019-McLaren	Carlos Sainz	5	47.0
2019-McLaren	Lando Norris	-5	-47.0
2019-Mercedes	Lewis Hamilton	1	87.0
2019-Mercedes	Valtteri Bottas	-1	-87.0
2019-Red Bull	Max Verstappen	4	183.0
2019-Red Bull	Pierre Gasly	-4	-183.0
2019-Renault	Daniel Ricciardo	5	17.0
2019-Renault	Nico H<fc>lkenberg	-5	-17.0
2019-Sauber	Kimi R<e4>ikk<f6>nen	5	29.0
2019-Sauber	Antonio Giovinazzi	-5	-29.0
2019-Toro Rosso	Alexander Albon	5	55.0
2019-Toro Rosso	Daniil Kvyat	-5	-55.0
2019-Williams	Robert Kubica	1	1.0
2019-Williams	George Russell	-1	-1.0
